case,signal_removed,effort_to_cover_90,change_vs_full
acme,None (full Formula + ML),,
acme,ML probability,,
acme,EPSS,,
acme,KEV flag,,
acme,Blast radius (fan-in),,
acme,Scope multiplier,,
acme,Asset criticality,,
legacy-java-app,None (full Formula + ML),,
legacy-java-app,ML probability,,
legacy-java-app,EPSS,,
legacy-java-app,KEV flag,,
legacy-java-app,Blast radius (fan-in),,
legacy-java-app,Scope multiplier,,
legacy-java-app,Asset criticality,,
population,None (full Formula + ML),0.4789,+0.0000
population,ML probability,0.6820,+0.2031
population,EPSS,0.4548,-0.0241
population,KEV flag,0.4789,-0.0000
population,Blast radius (fan-in),,
population,Scope multiplier,0.4751,-0.0039
population,Asset criticality,,
